(0.154500) avg_accuracy=0.160000, f_measure:0.167654
(0.154400) avg_accuracy=0.160000, f_measure:0.167654
(0.154300) avg_accuracy=0.160000, f_measure:0.167654
(0.154200) avg_accuracy=0.160000, f_measure:0.167654
(0.154100) avg_accuracy=0.160000, f_measure:0.167654
(0.154000) avg_accuracy=0.160000, f_measure:0.167654
(0.153900) avg_accuracy=0.160000, f_measure:0.167654
(0.153800) avg_accuracy=0.160000, f_measure:0.167654
(0.153700) avg_accuracy=0.160000, f_measure:0.167654
(0.153600) avg_accuracy=0.160000, f_measure:0.167654
(0.153500) avg_accuracy=0.160000, f_measure:0.167654
(0.153400) avg_accuracy=0.160000, f_measure:0.167654
(0.153300) avg_accuracy=0.160000, f_measure:0.167654
(0.153200) avg_accuracy=0.160000, f_measure:0.167654
(0.153100) avg_accuracy=0.160000, f_measure:0.167654
(0.153000) avg_accuracy=0.160000, f_measure:0.167654
(0.152900) avg_accuracy=0.160000, f_measure:0.167654
(0.152800) avg_accuracy=0.160000, f_measure:0.167654
(0.152700) avg_accuracy=0.160000, f_measure:0.167654
(0.152600) avg_accuracy=0.160000, f_measure:0.167654
(0.152500) avg_accuracy=0.160000, f_measure:0.167654
(0.152400) avg_accuracy=0.160000, f_measure:0.167654
(0.152300) avg_accuracy=0.160000, f_measure:0.167654
(0.152200) avg_accuracy=0.160000, f_measure:0.167654
(0.152100) avg_accuracy=0.160000, f_measure:0.167654
(0.152000) avg_accuracy=0.160000, f_measure:0.167654
(0.151900) avg_accuracy=0.160000, f_measure:0.167654
